===== Запуск 2026-08-18 16:39:37 =====
2026-08-18 16:38:45 — Батч 1 — https://---test---sib.in.ua/price_merge/0_merged_file.xml — файл не завантажився (сервер не відповів)

===== Запуск 2026-08-18 16:42:16 =====
2026-08-18 16:41:25 — Батч 1 — https://---test---sib.in.ua/price_merge/0_merged_file.xml — файл не завантажився (сервер не відповів)

===== Запуск 2026-08-21 21:43:17 =====
2026-08-22 23:42:32 — Батч 2 — https://sib.in.ua/price_update3/5-inspl_filtered.xml — XML пошкоджений: StartTag: invalid element name; error parsing attribute name; attributes construct error; Couldn't find end of Start Tag iparr.length line 47; xmlParseEntityRef: no name; xmlParseEntityRef: no name; StartTag: invalid element name; xmlParseEntityRef: no name; xmlParseEntityRef: no name; Specification mandates value for attribute async; attributes construct error; Couldn't find end of Start Tag script line 92; Opening and ending tag mismatch: link line 24 and script; Opening and ending tag mismatch: meta line 21 and head; Opening and ending tag mismatch: meta line 20 and html; Premature end of data in tag meta line 4; 
2026-08-22 23:42:33 — Батч 2 — https://sib.in.ua/category_id_mapper/6-ideia_updated.xml — XML пошкоджений: StartTag: invalid element name; error parsing attribute name; attributes construct error; Couldn't find end of Start Tag iparr.length line 47; xmlParseEntityRef: no name; xmlParseEntityRef: no name; StartTag: invalid element name; xmlParseEntityRef: no name; xmlParseEntityRef: no name; Specification mandates value for attribute async; attributes construct error; Couldn't find end of Start Tag script line 92; Opening and ending tag mismatch: link line 24 and script; Opening and ending tag mismatch: meta line 21 and head; Opening and ending tag mismatch: meta line 20 and html; Premature end of data in tag meta line 4; 
2026-08-22 23:42:34 — Батч 2 — https://sib.in.ua/price_update3/8-posgr_filtered.xml — XML пошкоджений: StartTag: invalid element name; error parsing attribute name; attributes construct error; Couldn't find end of Start Tag iparr.length line 47; xmlParseEntityRef: no name; xmlParseEntityRef: no name; StartTag: invalid element name; xmlParseEntityRef: no name; xmlParseEntityRef: no name; Specification mandates value for attribute async; attributes construct error; Couldn't find end of Start Tag script line 92; Opening and ending tag mismatch: link line 24 and script; Opening and ending tag mismatch: meta line 21 and head; Opening and ending tag mismatch: meta line 20 and html; Premature end of data in tag meta line 4; 
2026-08-22 23:42:36 — Батч 2 — https://sib.in.ua/price_update/price_caskona_prom.xml — XML пошкоджений: StartTag: invalid element name; error parsing attribute name; attributes construct error; Couldn't find end of Start Tag iparr.length line 47; xmlParseEntityRef: no name; xmlParseEntityRef: no name; StartTag: invalid element name; xmlParseEntityRef: no name; xmlParseEntityRef: no name; Specification mandates value for attribute async; attributes construct error; Couldn't find end of Start Tag script line 92; Opening and ending tag mismatch: link line 24 and script; Opening and ending tag mismatch: meta line 21 and head; Opening and ending tag mismatch: meta line 20 and html; Premature end of data in tag meta line 4; 
2026-08-22 23:42:37 — Батч 2 — https://sib.in.ua/price_update/price_brton_prom.xml — XML пошкоджений: StartTag: invalid element name; error parsing attribute name; attributes construct error; Couldn't find end of Start Tag iparr.length line 47; xmlParseEntityRef: no name; xmlParseEntityRef: no name; StartTag: invalid element name; xmlParseEntityRef: no name; xmlParseEntityRef: no name; Specification mandates value for attribute async; attributes construct error; Couldn't find end of Start Tag script line 92; Opening and ending tag mismatch: link line 24 and script; Opening and ending tag mismatch: meta line 21 and head; Opening and ending tag mismatch: meta line 20 and html; Premature end of data in tag meta line 4; 
2026-08-22 23:42:39 — Батч 2 — https://sib.in.ua/price_update/price_peony_prom.xml — XML пошкоджений: StartTag: invalid element name; error parsing attribute name; attributes construct error; Couldn't find end of Start Tag iparr.length line 47; xmlParseEntityRef: no name; xmlParseEntityRef: no name; StartTag: invalid element name; xmlParseEntityRef: no name; xmlParseEntityRef: no name; Specification mandates value for attribute async; attributes construct error; Couldn't find end of Start Tag script line 92; Opening and ending tag mismatch: link line 24 and script; Opening and ending tag mismatch: meta line 21 and head; Opening and ending tag mismatch: meta line 20 and html; Premature end of data in tag meta line 4; 
2026-08-22 23:42:40 — Батч 2 — https://sib.in.ua/price_update3/15-sultana_filtered.xml — XML пошкоджений: StartTag: invalid element name; error parsing attribute name; attributes construct error; Couldn't find end of Start Tag iparr.length line 47; xmlParseEntityRef: no name; xmlParseEntityRef: no name; StartTag: invalid element name; xmlParseEntityRef: no name; xmlParseEntityRef: no name; Specification mandates value for attribute async; attributes construct error; Couldn't find end of Start Tag script line 92; Opening and ending tag mismatch: link line 24 and script; Opening and ending tag mismatch: meta line 21 and head; Opening and ending tag mismatch: meta line 20 and html; Premature end of data in tag meta line 4; 
2026-08-22 23:42:41 — Батч 2 — https://sib.in.ua/price_update/price_tachome_prom.xml — XML пошкоджений: StartTag: invalid element name; error parsing attribute name; attributes construct error; Couldn't find end of Start Tag iparr.length line 47; xmlParseEntityRef: no name; xmlParseEntityRef: no name; StartTag: invalid element name; xmlParseEntityRef: no name; xmlParseEntityRef: no name; Specification mandates value for attribute async; attributes construct error; Couldn't find end of Start Tag script line 92; Opening and ending tag mismatch: link line 24 and script; Opening and ending tag mismatch: meta line 21 and head; Opening and ending tag mismatch: meta line 20 and html; Premature end of data in tag meta line 4; 
2026-08-22 23:42:42 — Батч 2 — https://sib.in.ua/price_update/price_tep_prom.xml — XML пошкоджений: StartTag: invalid element name; error parsing attribute name; attributes construct error; Couldn't find end of Start Tag iparr.length line 47; xmlParseEntityRef: no name; xmlParseEntityRef: no name; StartTag: invalid element name; xmlParseEntityRef: no name; xmlParseEntityRef: no name; Specification mandates value for attribute async; attributes construct error; Couldn't find end of Start Tag script line 92; Opening and ending tag mismatch: link line 24 and script; Opening and ending tag mismatch: meta line 21 and head; Opening and ending tag mismatch: meta line 20 and html; Premature end of data in tag meta line 4; 

